0;0;0;0;land;false;unknown;0
1;181;195;212;land;false;plains;1
2;177;209;122;land;false;plains;1
3;235;180;111;land;false;plains;1
4;203;106;214;land;false;plains;1
5;245;172;154;land;false;plains;1
6;111;191;216;land;false;plains;1
7;99;251;247;land;false;plains;1
8;241;237;47;land;true;plains;1
9;196;254;211;land;false;plains;1
10;184;237;179;land;false;plains;1
11;136;246;122;land;false;plains;1
12;254;115;205;land;false;plains;1
13;181;228;156;land;false;plains;1
14;202;219;141;land;false;plains;1
15;228;71;234;land;true;plains;1
16;218;244;123;land;false;plains;1
17;169;221;244;land;false;plains;1
18;200;217;142;land;false;plains;1
19;90;185;235;land;false;plains;1
20;198;166;187;land;false;plains;1
21;247;146;195;land;false;plains;1
22;229;122;154;land;false;plains;1
23;203;151;253;land;false;plains;1
24;73;232;207;land;false;plains;1
25;236;182;212;land;false;plains;1
26;250;108;215;land;false;plains;1
27;231;227;62;land;false;plains;1
28;179;250;109;land;false;plains;1
29;218;192;196;land;false;plains;1
30;188;253;254;land;false;plains;1
31;236;238;168;land;true;plains;1
32;105;176;221;land;false;plains;1
33;222;108;202;land;false;plains;1
34;204;233;86;land;false;plains;1
35;221;219;147;land;false;plains;1
36;192;229;106;land;false;plains;1
37;246;228;70;land;false;plains;1
38;254;142;154;land;true;plains;1
39;252;179;178;land;false;plains;1
40;200;127;179;land;false;plains;1
41;242;245;148;land;false;plains;1
42;178;183;191;land;false;plains;1
43;87;188;230;land;true;plains;1
44;254;49;241;land;false;plains;1
45;87;226;220;land;true;plains;1
46;155;254;185;land;false;plains;1
47;231;245;121;land;false;plains;1
48;140;154;220;land;false;plains;1
49;249;215;242;land;false;plains;1
50;236;87;205;land;true;plains;1
51;146;123;248;land;false;plains;1
52;196;249;103;land;false;plains;1
53;206;187;225;land;false;plains;1
54;156;246;230;land;false;plains;1
55;236;245;105;land;false;plains;1
56;193;198;193;land;false;plains;1
57;132;211;170;land;false;plains;1
58;225;105;219;land;false;plains;1
59;212;108;211;land;false;plains;1
60;252;87;163;land;false;plains;1
61;158;212;147;land;false;plains;1
